filled_at,symbol,side,shares,price,amount,reason,agent_public_id,run_public_id,experiment_run_public_id,closed_pnl,dir,fee
2025-11-18T17:23:39.778Z,NVDA,BUY,0.11,182.4400,-20.07,Open Long,,,,0.000000,Open Long,0.018061
2025-11-18T17:23:39.778Z,NVDA,BUY,4.25,182.4400,-775.37,Open Long,,,,0.000000,Open Long,0.697833
2025-11-18T19:22:01.208Z,XYZ100,SELL,0.0023,24654.0000,56.70,Open Short,,,,0.000000,Open Short,0.051033
2025-11-18T19:22:01.208Z,XYZ100,SELL,0.0177,24654.0000,436.38,Open Short,,,,0.000000,Open Short,0.392738
2025-11-18T19:22:01.208Z,XYZ100,SELL,0.0095,24654.0000,234.21,Open Short,,,,0.000000,Open Short,0.210791
2025-11-18T19:22:01.208Z,XYZ100,SELL,0.0117,24654.0000,288.45,Open Short,,,,0.000000,Open Short,0.259606
2025-11-18T19:22:01.208Z,XYZ100,SELL,0.0008,24654.0000,19.72,Open Short,,,,0.000000,Open Short,0.017750
2025-11-18T19:22:07.911Z,XYZ100,SELL,0.001,24654.0000,24.65,Open Short,,,,0.000000,Open Short,0.007396
2025-11-18T19:22:07.911Z,XYZ100,SELL,0.001,24654.0000,24.65,Open Short,,,,0.000000,Open Short,0.007396
2025-11-18T19:22:09.017Z,XYZ100,SELL,0.006,24654.0000,147.92,Open Short,,,,0.000000,Open Short,0.044377
2025-11-18T19:47:42.101Z,TSLA,SELL,1.44,405.7000,584.21,Open Short,,,,0.000000,Open Short,0.525787
2025-11-18T19:49:51.715Z,PLTR,SELL,1.32,169.5100,223.75,Open Short,,,,0.000000,Open Short,0.201377
2025-11-18T21:53:19.127Z,TSLA,SELL,0.87,400.3100,348.27,Open Short,,,,0.000000,Open Short,0.313442
2025-11-18T23:10:19.482Z,XYZ100,BUY,0.0035,24520.0000,-85.82,Close Short,,,,0.469000,Close Short,0.077238
2025-11-18T23:10:19.482Z,XYZ100,BUY,0.0064,24520.0000,-156.93,Close Short,,,,0.857600,Close Short,0.141235
2025-11-18T23:10:19.482Z,XYZ100,BUY,0.0149,24520.0000,-365.35,Close Short,,,,1.996451,Close Short,0.328813
2025-11-18T23:10:19.482Z,XYZ100,BUY,0.0027,24520.0000,-66.20,Close Short,,,,0.361773,Close Short,0.059583
2025-11-18T23:10:19.482Z,XYZ100,BUY,0.0149,24520.0000,-365.35,Close Short,,,,1.996451,Close Short,0.328813
2025-11-18T23:10:19.482Z,XYZ100,BUY,0.0076,24520.0000,-186.35,Close Short,,,,1.018324,Close Short,0.167716
2025-11-18T23:10:19.482Z,TSLA,BUY,0.381,400.2000,-152.48,Close Short,,,,1.322070,Close Short,0.137228
2025-11-18T23:10:19.482Z,TSLA,BUY,0.158,400.2700,-63.24,Close Short,,,,0.537200,Close Short,0.056918
2025-11-18T23:10:19.482Z,TSLA,BUY,0.149,400.2800,-59.64,Close Short,,,,0.505110,Close Short,0.053677
2025-11-18T23:10:19.482Z,TSLA,BUY,0.413,400.3000,-165.32,Close Short,,,,1.391810,Close Short,0.148791
2025-11-18T23:10:19.482Z,TSLA,BUY,0.444,400.4000,-177.78,Close Short,,,,1.451880,Close Short,0.159999
2025-11-18T23:10:19.482Z,TSLA,BUY,0.476,400.5000,-190.64,Close Short,,,,1.508920,Close Short,0.171574
2025-11-18T23:10:19.482Z,TSLA,BUY,0.289,400.5100,-115.75,Close Short,,,,0.913240,Close Short,0.104172
2025-11-18T23:10:19.482Z,NVDA,SELL,4.36,181.1300,789.73,Close Long,,,,-5.711600,Close Long,0.710754
2025-11-18T23:10:19.482Z,PLTR,BUY,0.753,166.6400,-125.48,Close Short,,,,2.161110,Close Short,0.112931
2025-11-18T23:10:19.482Z,PLTR,BUY,0.567,166.6400,-94.48,Close Short,,,,1.627290,Close Short,0.085036
2025-11-18T23:23:32.312Z,XYZ100,SELL,0.04,24526.0000,981.04,Open Short,,,,0.000000,Open Short,0.294312
2025-11-19T00:01:12.475Z,XYZ100,BUY,0.0026,24519.0000,-63.75,Close Short,,,,0.018200,Close Short,0.057374
2025-11-19T00:01:12.475Z,XYZ100,BUY,0.0374,24519.0000,-917.01,Close Short,,,,0.261800,Close Short,0.825309
