filled_at,symbol,side,shares,price,amount,reason,agent_public_id,run_public_id,experiment_run_public_id,closed_pnl,dir,fee
2025-11-19T15:50:10.850Z,PLTR,BUY,2.76,167.5500,-462.44,Close Short,,,,-0.041400,Close Short,0.416194
2025-11-19T16:23:25.045Z,NVDA,BUY,4.05,186.0600,-753.54,Open Long,,,,0.000000,Open Long,0.678188
2025-11-19T16:23:33.946Z,XYZ100,BUY,0.0001,24640.0000,-2.46,Open Long,,,,0.000000,Open Long,0.000739
2025-11-19T16:23:38.161Z,XYZ100,BUY,0.005,24640.0000,-123.20,Open Long,,,,0.000000,Open Long,0.036960
2025-11-19T16:23:38.278Z,XYZ100,BUY,0.005,24640.0000,-123.20,Open Long,,,,0.000000,Open Long,0.036960
2025-11-19T16:23:42.615Z,XYZ100,BUY,0.005,24640.0000,-123.20,Open Long,,,,0.000000,Open Long,0.036960
2025-11-19T16:23:42.676Z,XYZ100,BUY,0.005,24640.0000,-123.20,Open Long,,,,0.000000,Open Long,0.036960
2025-11-19T16:23:45.573Z,XYZ100,BUY,0.005,24640.0000,-123.20,Open Long,,,,0.000000,Open Long,0.036960
2025-11-19T16:23:45.746Z,XYZ100,BUY,0.005,24640.0000,-123.20,Open Long,,,,0.000000,Open Long,0.036960
2025-11-19T16:23:50.094Z,XYZ100,BUY,0.005,24640.0000,-123.20,Open Long,,,,0.000000,Open Long,0.036960
2025-11-19T16:23:50.094Z,XYZ100,BUY,0.005,24640.0000,-123.20,Open Long,,,,0.000000,Open Long,0.036960
2025-11-19T16:23:54.819Z,XYZ100,BUY,0.005,24640.0000,-123.20,Open Long,,,,0.000000,Open Long,0.036960
2025-11-19T16:23:54.819Z,XYZ100,BUY,0.005,24640.0000,-123.20,Open Long,,,,0.000000,Open Long,0.036960
2025-11-19T16:23:59.156Z,XYZ100,BUY,0.005,24640.0000,-123.20,Open Long,,,,0.000000,Open Long,0.036960
2025-11-19T16:23:59.371Z,XYZ100,BUY,0.005,24640.0000,-123.20,Open Long,,,,0.000000,Open Long,0.036960
2025-11-19T16:24:01.289Z,XYZ100,BUY,0.001,24640.0000,-24.64,Open Long,,,,0.000000,Open Long,0.007391
2025-11-19T16:24:01.532Z,XYZ100,BUY,0.0422,24640.0000,-1039.81,Open Long,,,,0.000000,Open Long,0.311942
2025-11-19T16:24:02.871Z,XYZ100,BUY,0.005,24640.0000,-123.20,Open Long,,,,0.000000,Open Long,0.036960
2025-11-19T16:24:02.995Z,XYZ100,BUY,0.005,24640.0000,-123.20,Open Long,,,,0.000000,Open Long,0.036960
2025-11-19T16:24:04.887Z,XYZ100,BUY,0.0633,24640.0000,-1559.71,Open Long,,,,0.000000,Open Long,0.467913
2025-11-19T16:24:05.911Z,XYZ100,BUY,0.005,24640.0000,-123.20,Open Long,,,,0.000000,Open Long,0.036960
