filled_at,symbol,side,shares,price,amount,reason,agent_public_id,run_public_id,experiment_run_public_id,closed_pnl,dir,fee
2025-11-28T08:07:02.529Z,NVDA,BUY,1.513,180.5700,-273.20,Open Long,,,,0.000000,Open Long,0.006556
2025-11-28T08:07:03.885Z,NVDA,BUY,1.513,180.5700,-273.20,Open Long,,,,0.000000,Open Long,0.006556
2025-11-28T08:07:05.353Z,NVDA,BUY,1.632,180.5700,-294.69,Open Long,,,,0.000000,Open Long,0.007072
2025-11-28T08:07:06.766Z,NVDA,BUY,1.513,180.5700,-273.20,Open Long,,,,0.000000,Open Long,0.006556
2025-11-28T08:14:38.579Z,PLTR,BUY,0.323,166.5600,-53.80,Open Long,,,,0.000000,Open Long,0.001291
2025-11-28T08:14:40.206Z,PLTR,BUY,5.0,166.5600,-832.80,Open Long,,,,0.000000,Open Long,0.019987
2025-11-28T08:14:40.383Z,PLTR,BUY,1.274,166.5600,-212.20,Open Long,,,,0.000000,Open Long,0.005092
2025-11-28T08:14:40.383Z,PLTR,BUY,1.274,166.5600,-212.20,Open Long,,,,0.000000,Open Long,0.005092
2025-11-28T08:14:41.486Z,PLTR,BUY,0.066,166.5600,-10.99,Open Long,,,,0.000000,Open Long,0.000263
2025-11-28T08:14:41.593Z,PLTR,BUY,5.0,166.5600,-832.80,Open Long,,,,0.000000,Open Long,0.019987
2025-11-28T08:14:42.774Z,PLTR,BUY,0.096,166.5600,-15.99,Open Long,,,,0.000000,Open Long,0.000383
2025-11-28T08:14:43.108Z,PLTR,BUY,5.0,166.5600,-832.80,Open Long,,,,0.000000,Open Long,0.019987
2025-11-28T08:14:44.737Z,PLTR,BUY,5.0,166.5600,-832.80,Open Long,,,,0.000000,Open Long,0.019987
2025-11-28T08:14:44.737Z,PLTR,BUY,0.084,166.5600,-13.99,Open Long,,,,0.000000,Open Long,0.000335
2025-11-28T08:14:45.631Z,PLTR,BUY,0.075,166.5600,-12.49,Open Long,,,,0.000000,Open Long,0.000299
2025-11-28T08:14:46.032Z,PLTR,BUY,0.424,166.5600,-70.62,Open Long,,,,0.000000,Open Long,0.001694
2025-11-28T08:14:46.032Z,PLTR,BUY,0.424,166.5600,-70.62,Open Long,,,,0.000000,Open Long,0.001694
2025-11-28T08:14:46.229Z,PLTR,BUY,5.0,166.5600,-832.80,Open Long,,,,0.000000,Open Long,0.019987
